Code,Module,Level,Log Message(EN),Log Message(KR),설명
INST-99001,GSInstaller,ERR,input: null Value exist,입력값에 빈칸이 존재합니다.,
INST-99002,GSInstaller,ERR,unzip error,압축 해제 함수 실행 중에 오류가 발생하였습니다.,
INST-99003,GSInstaller,ERR,is not backup zip!,Backup폴더에서 가져온 압축 파일이 아니므로 Restore에 사용할 수 없습니다.,
INST-99004,GSInstaller,ERR,is backup zip!,Backup폴더에서 가져온 압축 파일이므로 Restore 외 다른 목적으로 사용할 수 없습니다.,
INST-99005,GSInstaller,ERR,Same subsystem in list!,같은 종류의 subsystem이 리스트에 중복되어 존재합니다.,
INST-99006,GSInstaller,ERR,FolderCheck error,FolderCheck함수 실행 중 오류가 발생했습니다.,
INST-99007,GSInstaller,ERR,Backup error,Backup함수 실행 중 오류가 발생했습니다.,
INST-99008,GSInstaller,ERR,Install error,Install 함수 실행 중 오류가 발생했습니다.,
INST-99009,GSInstaller,ERR,Makeinstallinformation error,Makeinstallinformation 함수 실행 중 오류가 발생했습니다.,
INST-99010,GSInstaller,ERR,TempDelete error,TempDelete 함수 실행 중 오류가 발생했습니다.,
INST-99011,GSInstaller,ERR,Program cancel,프로그램이 취소되었습니다.,
INST-00000,GSInstaller,INFO,canceling... please wait,프로그램이 취소되는 중입니다. 잠시만 기다려 주십시오.,
INST-99012,GSInstaller,ERR,Empty cell exist!,ID나 PASSWORD중 하나 이상이 입력되지 않았습니다.,
INST-00001,GSInstaller,INFO,Program Start,프로그램을 시작합니다.,
INST-00002,GSInstaller,INFO,Program End,프로그램을 종료합니다.,
INST-00003,GSInstaller,INFO,Setting Start,기본 세팅을 시작합니다.,
INST-00004,GSInstaller,INFO,Setting End,기본 세팅이 완료되었습니다.,
INST-00005,GSInstaller,INFO,Install Start,설치를 시작합니다.,
INST-00006,GSInstaller,INFO,Install End,설치가 완료되었습니다.,
INST-00007,GSInstaller,INFO,Zip Exist Check Start,압축 파일이 존재하는지 확인합니다.,
INST-00008,GSInstaller,INFO,Zip Exist Check End,압축 파일 존재 확인이 완료되었습니다.,
INST-00009,GSInstaller,INFO,Install End,"설치(restore, backup)가 완료되었습니다.",
INST-00010,GSInstaller,INFO,Backup Folder Check Start,backup 폴더가 존재하는지 확인합니다.,
INST-00011,GSInstaller,INFO,Backup Folder Check End,backup 폴더 존재를 확인했습니다.,
INST-00012,GSInstaller,INFO,Backup Start,backup을 시작합니다.,
INST-00013,GSInstaller,INFO,Backup End,backup이 완료되었습니다.,
INST-00014,GSInstaller,INFO,Hash Make Start,해시코드 제작을 시작합니다.,
INST-00015,GSInstaller,INFO,Hash Make End,해시코드 제작이 완료되었습니다.,
INST-00016,GSInstaller,INFO,Hash Check Start,해시코드 비교를 시작합니다.,
INST-00017,GSInstaller,INFO,Hash Check End,해시코드 비교를 문제없이 완료하였습니다.,
INST-00018,GSInstaller,INFO,Hash Check Fail,해시코드가 다릅니다. 복사 과정에서 파일이 손상되었습니다.,
INST-00019,GSInstaller,INFO, Client exist,클라이언트 폴더가 존재합니다.,
INST-00020,GSInstaller,INFO, Client unexist,클라이언트 폴더가 존재하지 않습니다.,
INST-00021,GSInstaller,INFO, Server exist,서버 폴더가 존재합니다.,
INST-00022,GSInstaller,INFO, Server unexist,서버 폴더가 존재하지 않습니다.,
